width_of_automata,angle_of_n_phenomenon_on_left,queue_depth
6.0,56.309932474020215,5.0
7.0,16.927513064147046,15.0
8.0,33.690067525979785,10.0
9.0,39.28940686250036,10.0
10.0,32.00538320808349,13.0
11.0,32.9052429229879,14.0
12.0,23.198590513648185,20.0
13.0,27.474431626277127,19.0
14.0,25.016893478100023,22.0
15.0,33.11134196037203,19.0
16.0,36.02737338510361,19.0
17.0,38.99099404250548,19.0
18.0,24.227745317954174,29.0
19.0,19.72227776444705,36.0
20.0,21.037511025421818,36.0
21.0,22.38013505195957,36.0
22.0,21.44773632710535,39.0
23.0,29.291362170984264,32.0
24.0,30.96375653207352,32.0
25.0,32.66091272167381,32.0
26.0,21.501434324047903,46.0
27.0,26.146841235580894,41.0
28.0,28.300755766006368,40.0
29.0,29.62374875117381,40.0
30.0,20.556045219583467,55.0
31.0,33.40782458970893,39.0
32.0,34.824489156956794,39.0
33.0,36.25383773744479,39.0
34.0,25.90650799951439,52.0
35.0,19.840698083968352,66.0
36.0,20.556045219583467,66.0
37.0,21.279604427695407,66.0
38.0,27.18111108547722,56.0
39.0,23.66314070819435,64.0
40.0,24.443954780416536,64.0
41.0,25.23283132320835,64.0
42.0,25.51387042753425,65.0
43.0,20.179458664510925,80.0
44.0,18.178018798418503,89.0
45.0,21.370622269343183,80.0
46.0,19.21267181718564,89.0
47.0,21.22765118863529,84.0
48.0,21.801409486351808,84.0
49.0,22.38013505195957,84.0
50.0,18.434948822922014,100.0
51.0,20.695450734063282,93.0
52.0,21.209226134222806,93.0
53.0,21.434604129418034,94.0
54.0,26.995838394086622,80.0
55.0,22.466749920995735,94.0
56.0,22.988716802080642,94.0
57.0,23.514556682936586,94.0
58.0,22.217594269518308,100.0
59.0,20.35833800044165,109.0
60.0,20.794114955503648,109.0
61.0,21.232892295418434,109.0
62.0,24.8293465881496,98.0
63.0,23.7763434972338,103.0
64.0,24.26129085247779,103.0
65.0,24.74936649071752,103.0
66.0,21.682291613244935,116.0
67.0,22.34476729132021,115.0
68.0,23.286064918223573,113.0
69.0,23.72503002829328,113.0
70.0,21.467651439098987,124.0
71.0,25.478269724079794,110.0
72.0,25.942295489871675,110.0
73.0,26.40893227321969,110.0
74.0,20.492594769870287,136.0
75.0,20.277160447689482,139.0
76.0,20.61818812310449,139.0
77.0,20.961065734541567,139.0
78.0,27.7904424794521,113.0
79.0,19.67024589180056,150.0
80.0,20.32313682966294,148.0
81.0,20.64360874720361,148.0
82.0,22.91282839677165,138.0
83.0,16.455752684582816,182.0
84.0,16.812626235424208,181.0
85.0,17.294254389308247,179.0
86.0,18.302626241748182,173.0
87.0,26.965714432870143,129.0
88.0,27.36821042888825,129.0
89.0,27.772511773549052,129.0
90.0,22.43299092212539,154.0
91.0,21.168099470551677,163.0
92.0,21.4628859247198,163.0
93.0,21.75899959068249,163.0
94.0,21.38862282781884,167.0
95.0,19.057704510128328,185.0
96.0,19.308672934889184,185.0
97.0,19.56070353252439,185.0
98.0,21.721050801997308,172.0
99.0,18.55140349896741,197.0
100.0,18.785020512595423,197.0
101.0,19.01957934362719,197.0
102.0,23.198590513648185,170.0
103.0,23.314222605928737,171.0
104.0,23.604115042914238,171.0
105.0,23.895161415070373,171.0
106.0,20.46755759956858,195.0
107.0,19.44992534758651,205.0
108.0,19.67785752120461,205.0
109.0,19.90665103016569,205.0
110.0,22.466749920995735,188.0
111.0,21.01093599044761,200.0
112.0,21.250505507133237,200.0
113.0,21.490959775807546,200.0
114.0,24.00400764811761,185.0
115.0,21.974507991471963,200.0
116.0,22.217594269518308,200.0
